"Dataset_ID","Longitude","Latitude","Percentage"
7,-80.1167,47,0.372093023255814
8,-119.977,33.95639,0.302325581395349
9,41.33333,43.30556,0.186046511627907
11,135.5833,67.75,0.13953488372093
12,13.42774,55.93448,0.604651162790698
15,-65.75,-23.8333,0.441860465116279
16,8.729075,53.694,0.232558139534884
19,138.55,47.11667,0.116279069767442
20,27.67406,69.12326,0.511627906976744
24,-60.54,53.3,0.162790697674419
31,152.33,60.14,0.255813953488372
32,-68.9833,-15.2333,0.27906976744186
33,131.8167,43.31667,0.13953488372093
69,178.6,67.66667,0.0697674418604651
200,41.30833,43.26806,0.116279069767442
202,-92.7167,46.41667,0.0697674418604651
203,-85.5,36.03,0.558139534883721
204,-93.25,45.725,0.162790697674419
206,-128.08,64.64,0.534883720930233
208,-153.9,67.13,0.697674418604651
209,-70.68,47.48,0.465116279069767
210,-105.45,43.5,0.488372093023256
212,-45.01,-3.16,0.0930232558139535
214,-95.5267,39.495,0.0930232558139535
215,-6.43333,52.95,0.325581395348837
219,-73.31,45.54,0.627906976744186
221,-79.5,45.39,0.558139534883721
224,-76.78,78.49167,0.441860465116279
225,-10.31,52.19,0.627906976744186
226,-6.25,53.16667,0.232558139534884
230,131.6,43.13333,0.0930232558139535
232,-83.25,30.63,0.418604651162791
234,-119.01,37.6,0.558139534883721
236,-79.78,47.23,0.581395348837209
238,-78.9167,46.4,0.511627906976744
239,-122.49,45.8,0.930232558139535
240,-81.3286,41.14389,0.232558139534884
245,-80.16,47.18,0.348837209302326
250,-108.16,37.47311,0.302325581395349
252,149.5,-36.5167,0.697674418604651
253,-127.483,65.01667,0.604651162790698
254,-127.47,65.02,0.395348837209302
256,134.5667,43.25,0.13953488372093
258,-76.1203,54.04722,0.395348837209302
259,145,70.58333,0.186046511627907
260,-73.32,42.51,0.534883720930233
261,135.5833,67.66667,0.162790697674419
267,-124.24,71.76,0.604651162790698
268,-119.84,72.37,0.581395348837209
269,-120.209,73.53444,0.627906976744186
272,-94.9708,47.55918,0.209302325581395
275,-94.5516,46.27058,0.558139534883721
278,-84.19,35.62,0.162790697674419
279,-110.601,44.95611,0.767441860465116
281,-88.4744,33.56333,0.325581395348837
285,148.31,-36.4,0.558139534883721
287,-89.8667,43.08333,0.488372093023256
294,-49.15,-27.7,0.790697674418605
298,-95.1627,47.1775,0.534883720930233
302,-119.433,55.575,0.604651162790698
303,-63.2,55.33333,0.372093023255814
304,-97.1261,30.36,0.767441860465116
306,-69.4528,47.45778,0.372093023255814
